"V1","V2"
"Alabama",83.3333333333333
"Alaska",58.3333333333333
"Arizona",70.8333333333333
"Arkansas",75
"California",27.0833333333333
"Colorado",10.4166666666667
"Connecticut",31.25
"Delaware",89.5833333333333
"Florida",2.08333333333333
"Georgia",22.9166666666667
"Idaho",37.5
"Illinois",8.33333333333333
"Indiana",39.5833333333333
"Iowa",97.9166666666667
"Kansas",54.1666666666667
"Kentucky",4.16666666666667
"Louisiana",16.6666666666667
"Maine",12.5
"Maryland",29.1666666666667
"Massachusetts",43.75
"Michigan",14.5833333333333
"Minnesota",100
"Mississippi",47.9166666666667
"Missouri",56.25
"Montana",25
"Nebraska",6.25
"Nevada",62.5
"New Hampshire",18.75
"New Jersey",87.5
"New Mexico",93.75
"New York",85.4166666666667
"North Carolina",60.4166666666667
"North Dakota",91.6666666666667
"Ohio",68.75
"Oklahoma",66.6666666666667
"Oregon",50
"Pennsylvania",81.25
"Rhode Island",20.8333333333333
"South Carolina",35.4166666666667
"South Dakota",77.0833333333333
"Tennessee",95.8333333333333
"Texas",72.9166666666667
"Utah",41.6666666666667
"Vermont",45.8333333333333
"Virginia",64.5833333333333
"Washington",0
"West Virginia",52.0833333333333
"Wisconsin",33.3333333333333
"Wyoming",79.1666666666667
