"V1","V2"
"Alabama",41.6666666666667
"Alaska",64.5833333333333
"Arizona",79.1666666666667
"Arkansas",14.5833333333333
"California",89.5833333333333
"Colorado",93.75
"Connecticut",87.5
"Delaware",2.08333333333333
"Florida",16.6666666666667
"Georgia",25
"Idaho",72.9166666666667
"Illinois",39.5833333333333
"Indiana",97.9166666666667
"Iowa",66.6666666666667
"Kansas",54.1666666666667
"Kentucky",60.4166666666667
"Louisiana",70.8333333333333
"Maine",100
"Maryland",18.75
"Massachusetts",68.75
"Michigan",27.0833333333333
"Minnesota",62.5
"Mississippi",12.5
"Missouri",20.8333333333333
"Montana",4.16666666666667
"Nebraska",85.4166666666667
"Nevada",52.0833333333333
"New Hampshire",75
"New Jersey",33.3333333333333
"New Mexico",45.8333333333333
"New York",43.75
"North Carolina",31.25
"North Dakota",10.4166666666667
"Ohio",47.9166666666667
"Oklahoma",58.3333333333333
"Oregon",37.5
"Pennsylvania",22.9166666666667
"Rhode Island",0
"South Carolina",77.0833333333333
"South Dakota",91.6666666666667
"Tennessee",81.25
"Texas",29.1666666666667
"Utah",6.25
"Vermont",83.3333333333333
"Virginia",50
"Washington",95.8333333333333
"West Virginia",8.33333333333333
"Wisconsin",35.4166666666667
"Wyoming",56.25
